created_at,entry_id,field1,field2
14/8/2026 9:30,21087511,2,2
14/8/2026 9:30,21087512,1,2
14/8/2026 9:30,21087513,0,0
14/8/2026 9:30,21087514,1,0
14/8/2026 9:31,21087515,1,1
14/8/2026 9:31,21087516,1,3
14/8/2026 9:31,21087517,0,2
14/8/2026 9:31,21087518,2,2
14/8/2026 9:32,21087519,3,3
14/8/2026 9:32,21087520,0,6
14/8/2026 9:32,21087521,0,1
14/8/2026 9:32,21087522,1,0
14/8/2026 9:33,21087523,0,0
14/8/2026 9:33,21087524,0,1
14/8/2026 9:33,21087525,2,3
14/8/2026 9:34,21087526,0,5
14/8/2026 9:34,21087527,0,5
14/8/2026 9:34,21087528,0,1
14/8/2026 9:34,21087529,0,0
14/8/2026 9:35,21087530,0,0
14/8/2026 9:35,21087531,0,0
14/8/2026 9:35,21087532,0,1
14/8/2026 9:35,21087533,0,0
14/8/2026 9:36,21087534,1,1
14/8/2026 9:36,21087535,0,0
14/8/2026 9:36,21087536,1,0
14/8/2026 9:36,21087537,0,2
14/8/2026 9:37,21087538,0,0
14/8/2026 9:37,21087539,0,0
14/8/2026 9:37,21087540,0,0
14/8/2026 9:37,21087541,0,0
14/8/2026 9:38,21087542,2,0
14/8/2026 9:38,21087543,6,0
14/8/2026 9:38,21087544,3,0
14/8/2026 9:38,21087545,0,2
14/8/2026 9:39,21087546,1,1
14/8/2026 9:39,21087547,0,6
14/8/2026 9:39,21087548,1,2
14/8/2026 9:39,21087549,0,0
14/8/2026 9:40,21087550,0,1
14/8/2026 9:40,21087551,1,0
14/8/2026 9:40,21087552,2,0
14/8/2026 9:40,21087553,0,3
14/8/2026 9:41,21087554,0,2
14/8/2026 9:41,21087555,0,0
14/8/2026 9:41,21087556,1,3
14/8/2026 9:41,21087557,2,3
14/8/2026 9:42,21087558,0,6
14/8/2026 9:42,21087559,0,1
14/8/2026 9:42,21087560,0,1
14/8/2026 9:43,21087561,4,1
14/8/2026 9:43,21087562,2,1
14/8/2026 9:43,21087563,0,0
14/8/2026 9:43,21087564,1,3
14/8/2026 9:44,21087565,3,3
14/8/2026 9:44,21087566,0,2
14/8/2026 9:44,21087567,0,3
14/8/2026 9:44,21087568,0,1
14/8/2026 9:45,21087569,0,1
14/8/2026 9:45,21087570,0,1
14/8/2026 9:45,21087571,5,3
14/8/2026 9:45,21087572,2,1
14/8/2026 9:46,21087573,0,2
14/8/2026 9:46,21087574,2,3
14/8/2026 9:46,21087575,2,5
14/8/2026 9:46,21087576,0,2
14/8/2026 9:47,21087577,0,1
14/8/2026 9:47,21087578,0,4
14/8/2026 9:47,21087579,2,1
14/8/2026 9:47,21087580,1,4
14/8/2026 9:48,21087581,0,3
14/8/2026 9:48,21087582,1,2
14/8/2026 9:48,21087583,2,0
14/8/2026 9:48,21087584,4,1
14/8/2026 9:49,21087585,0,0
14/8/2026 9:49,21087586,0,1
14/8/2026 9:49,21087587,0,1
14/8/2026 9:50,21087588,1,3
14/8/2026 9:50,21087589,0,0
14/8/2026 9:50,21087590,0,0
14/8/2026 9:50,21087591,0,3
14/8/2026 9:51,21087592,0,2
14/8/2026 9:51,21087593,4,3
14/8/2026 9:51,21087594,6,3
14/8/2026 9:51,21087595,1,0
14/8/2026 9:52,21087596,0,1
14/8/2026 9:52,21087597,1,2
14/8/2026 9:52,21087598,0,3
14/8/2026 9:52,21087599,1,0
14/8/2026 9:53,21087600,2,2
14/8/2026 9:53,21087601,0,1
14/8/2026 9:53,21087602,0,1
14/8/2026 9:53,21087603,0,4
14/8/2026 9:54,21087604,0,3
14/8/2026 9:54,21087605,5,1
14/8/2026 9:54,21087606,4,1
14/8/2026 9:54,21087607,5,1
14/8/2026 9:55,21087608,1,1
14/8/2026 9:55,21087609,0,0
14/8/2026 9:55,21087610,1,1
